domain,aspect,sentiment,tweet_text
restaurants,service,positive,The service on this restaurants exceeded all expectations.
streaming services,ads,positive,The ads on this streaming services exceeded all expectations.
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
restaurants,ambience,positive,Absolutely loving the ambience of my new restaurants.
e-commerce,customer support,positive,Totally satisfied with the customer support—solid upgrade for the e-commerce.
ride-sharing,route efficiency,negative,The route efficiency totally ruined my experience with this ride-sharing.
streaming services,subscription price,neutral,"The streaming services's subscription price does the job, nothing exciting."
ride-sharing,driver behavior,positive,The driver behavior on this ride-sharing exceeded all expectations.
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
e-commerce,product quality,positive,I'm genuinely impressed with the product quality on this e-commerce.
e-commerce,product quality,neutral,"The e-commerce's product quality does the job, nothing exciting."
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
restaurants,food quality,negative,Still can't get over how bad the food quality is on this restaurants.
e-commerce,refund policy,neutral,Not much to say about the refund policy—it's just fine.
smartphones,battery life,negative,Wish the battery life on this smartphones was better.
e-commerce,delivery time,negative,The delivery time totally ruined my experience with this e-commerce.
streaming services,video quality,positive,I'm genuinely impressed with the video quality on this streaming services.
restaurants,ambience,positive,"Hands down, this is the best ambience I've experienced with any restaurants."
restaurants,service,negative,The service totally ruined my experience with this restaurants.
streaming services,video quality,neutral,"The video quality on the streaming services is okay, I guess."
ride-sharing,driver behavior,negative,Wish the driver behavior on this ride-sharing was better.
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
restaurants,ambience,neutral,"Honestly, the ambience feels pretty average for a restaurants."
smartphones,performance,positive,Totally satisfied with the performance—solid upgrade for the smartphones.
e-commerce,product quality,positive,"Hands down, this is the best product quality I've experienced with any e-commerce."
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
smartphones,screen,negative,Really disappointed by the screen in this smartphones.
ride-sharing,route efficiency,neutral,No real complaints or praise for the route efficiency of this ride-sharing.
streaming services,ads,positive,I'm genuinely impressed with the ads on this streaming services.
streaming services,app experience,negative,Wish the app experience on this streaming services was better.
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
e-commerce,product quality,positive,I'm genuinely impressed with the product quality on this e-commerce.
smartphones,screen,neutral,Not much to say about the screen—it's just fine.
smartphones,design,negative,Still can't get over how bad the design is on this smartphones.
smartphones,battery life,neutral,Not much to say about the battery life—it's just fine.
restaurants,cleanliness,positive,The cleanliness on this restaurants exceeded all expectations.
ride-sharing,car cleanliness,positive,I'm genuinely impressed with the car cleanliness on this ride-sharing.
e-commerce,customer support,negative,Really disappointed by the customer support in this e-commerce.
e-commerce,delivery time,positive,Totally satisfied with the delivery time—solid upgrade for the e-commerce.
e-commerce,refund policy,positive,Absolutely loving the refund policy of my new e-commerce.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
e-commerce,customer support,positive,The customer support on this e-commerce exceeded all expectations.
ride-sharing,car cleanliness,neutral,No real complaints or praise for the car cleanliness of this ride-sharing.
streaming services,subscription price,positive,Totally satisfied with the subscription price—solid upgrade for the streaming services.
